Telonics Data Report
Report Format,Condensed,1
Headers Row,23
Data Source,Argos
TDC Version,1.65 SECO1349

CTN,630234B
Comment,
Argos ID,117335

Report Period Begins,2012.04.27 21:16:17
Report Period Ends,2012.10.23 01:56:43

Report File Number,1 of 1
File Coverage Begins,2012.04.27 21:16:17
File Coverage Ends,2012.10.23 01:56:43

Measurement Units,,,degrees,degrees,meters,,degrees,degrees,,meters,meters,degrees C,Hit,,,,Yes/No,Yes/No,Yes/No,
Resolution,,,,,,,0.000043,0.000043,,5,5,,,,,,,,,
Range Minimum,,,,,,,-90.000000,-180.000000,,,,-40,,,,,,,,
Range Maximum,,,,,,,90.000000,180.000000,,,,70,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Argos Location Class,Argos Latitude,Argos Longitude,Argos Altitude,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,Temperature,Satellite Uplink,Receive Time,Satellite Name,Repetition Count,Low Voltage,Mortality,Predeployment Data,Error
2012.10.12 21:46:37,2012.10.12 21:46:37,B,65.651,-160.536,111,,,,,,,,Hit,2012.10.12 21:46:37,M,1,No,No,No,
2012.10.12 21:48:40,2012.10.12 21:48:40,,,,,,,,,,,,Hit,2012.10.12 21:48:40,L,1,No,No,No,
2012.10.12 21:48:40,2012.10.12 21:48:40,,,,,,,,,,,,Hit,2012.10.12 21:48:40,P,1,No,No,,CRC Error
2012.10.12 21:50:43,2012.10.12 21:50:43,A,65.653,-160.542,90,,,,,,,,Hit,2012.10.12 21:50:43,P,2,No,No,No,
2012.10.12 21:52:46,2012.10.12 21:52:46,,,,,,,,,,,,Hit,2012.10.12 21:52:46,P,1,No,No,No,
2012.10.12 22:44:01,2012.10.12 22:44:01,,,,,,,,,,,,Hit,2012.10.12 22:44:01,N,1,No,No,No,
2012.10.12 22:45:02,2012.10.12 22:45:02,B,65.652,-160.551,67,,,,,,,,,2012.10.12 22:45:02,N,2,,,,
2012.10.12 22:46:04,2012.10.12 22:46:04,,,,,,,,,,,,Hit,2012.10.12 22:46:04,N,1,No,No,No,
2012.10.12 22:56:19,2012.10.12 22:56:19,B,65.652,-160.546,68,,,,,,,,Hit,2012.10.12 22:56:19,K,1,No,No,No,
2012.10.12 23:27:04,2012.10.12 23:27:04,A,65.664,-160.556,65,,,,,,,,Hit,2012.10.12 23:27:04,P,1,No,No,No,
2012.10.12 23:29:07,2012.10.12 23:29:07,B,65.663,-160.557,65,,,,,,,,Hit,2012.10.12 23:29:07,A,1,No,No,No,
2012.10.12 23:33:13,2012.10.12 23:33:13,,,,,,,,,,,,Hit,2012.10.12 23:33:13,P,1,No,No,No,
2012.10.13 00:00:35,2012.10.13 00:00:00,,,,,Succeeded,65.655456,-160.536733,4W,7282371,429319,,,2012.10.18 00:22:26,P,5,,,No,
2012.10.13 00:20:23,2012.10.13 00:20:23,,,,,,,,,,,,Hit,2012.10.13 00:20:23,N,1,No,No,No,
2012.10.13 00:22:26,2012.10.13 00:22:26,,,,,,,,,,,,Hit,2012.10.13 00:22:26,N,1,No,No,,CRC Error
2012.10.13 00:22:26,2012.10.13 00:22:26,A,65.647,-160.599,99,,,,,,,,,2012.10.13 00:22:26,N,3,,,,
2012.10.13 00:24:29,2012.10.13 00:24:29,,,,,,,,,,,,Hit,2012.10.13 00:24:29,N,1,No,No,,CRC Error
2012.10.13 01:07:32,2012.10.13 01:07:32,B,65.660,-160.548,70,,,,,,,,,2012.10.13 01:07:32,A,1,,,,
2012.10.13 01:07:32,2012.10.13 01:07:32,,,,,,,,,,,,Hit,2012.10.13 01:07:32,A,2,No,No,,CRC Error
2012.10.13 01:07:32,2012.10.13 01:07:32,B,65.659,-160.543,84,,,,,,,,,2012.10.13 01:07:32,M,1,,,,
2012.10.13 01:13:41,2012.10.13 01:13:41,,,,,,,,,,,,Hit,2012.10.13 01:13:41,P,1,No,No,No,
2012.10.13 01:15:44,2012.10.13 01:15:44,A,65.661,-160.553,67,,,,,,,,Hit,2012.10.13 01:15:44,P,1,No,No,No,
2012.10.13 01:17:47,2012.10.13 01:17:47,,,,,,,,,,,,Hit,2012.10.13 01:17:47,P,1,No,No,No,
2012.10.13 08:00:52,2012.10.13 08:00:00,,,,,Succeeded,65.586104,-160.573640,4W,7274685,427428,,,2012.10.18 00:22:26,P,5,,,No,
2012.10.13 16:00:35,2012.10.13 16:00:00,,,,,Succeeded,65.546794,-160.619559,4W,7270358,425198,,,2012.10.18 00:22:26,P,5,,,No,
2012.10.14 00:00:48,2012.10.14 00:00:00,,,,,Succeeded,65.538383,-160.715175,4W,7269538,420757,,,2012.10.18 00:22:26,P,5,,,No,
2012.10.14 08:00:35,2012.10.14 08:00:00,,,,,Succeeded,65.532889,-160.767274,4W,7268993,418334,,,2012.10.18 00:22:26,P,5,,,No,
2012.10.14 16:00:35,2012.10.14 16:00:00,,,,,Succeeded,65.538812,-160.773282,4W,7269660,418075,,,2012.10.18 00:24:29,P,4,,,No,
2012.10.15 00:00:34,2012.10.15 00:00:00,,,,,Succeeded,65.510488,-160.833106,4W,7266584,415219,,,2012.10.18 00:24:29,P,4,,,No,
2012.10.15 08:00:44,2012.10.15 08:00:00,,,,,Succeeded,65.491433,-160.819459,4W,7264442,415789,,,2012.10.18 00:24:29,P,4,,,No,
2012.10.15 16:00:35,2012.10.15 16:00:00,,,,,Succeeded,65.491776,-160.794225,4W,7264447,416958,,,2012.10.18 00:24:29,P,4,,,No,
2012.10.16 00:00:34,2012.10.16 00:00:00,,,,,Succeeded,65.491261,-160.793967,4W,7264389,416968,,,2012.10.18 00:24:29,P,4,,,No,
2012.10.16 08:00:53,2012.10.16 08:00:00,,,,,Succeeded,65.488858,-160.852590,4W,7264200,414248,,,2012.10.18 00:24:29,P,4,,,No,
2012.10.16 16:00:52,2012.10.16 16:00:00,,,,,Succeeded,65.479331,-160.871129,4W,7263164,413358,,,2012.10.22 22:37:52,N,2,,,No,
2012.10.17 00:00:48,2012.10.17 00:00:00,,,,,Succeeded,65.461135,-160.983224,4W,7261296,408105,,,2012.10.22 22:37:52,N,2,,,No,
2012.10.17 08:00:49,2012.10.17 08:00:00,,,,,Succeeded,65.445170,-160.984597,4W,7259519,407985,,,2012.10.22 22:37:52,N,2,,,No,
2012.10.17 16:00:35,2012.10.17 16:00:00,,,,,Succeeded,65.438991,-160.983224,4W,7258829,408027,,,2012.10.22 22:37:52,N,2,,,No,
2012.10.17 20:06:10,2012.10.17 20:06:10,,,,,,,,,,,,Hit,2012.10.17 20:06:10,A,1,No,No,No,
2012.10.17 20:45:07,2012.10.17 20:45:07,,,,,,,,,,,,Hit,2012.10.17 20:45:07,L,1,No,No,,CRC Error
2012.10.17 21:28:10,2012.10.17 21:28:10,,,,,,,,,,,,Hit,2012.10.17 21:28:10,M,1,No,No,,CRC Error
2012.10.17 21:29:11,2012.10.17 21:29:11,A,65.424,-160.987,226,,,,,,,,,2012.10.17 21:29:11,M,3,,,,
2012.10.17 21:30:13,2012.10.17 21:30:13,,,,,,,,,,,,Hit,2012.10.17 21:30:13,M,1,No,No,No,
2012.10.17 21:32:16,2012.10.17 21:32:16,,,,,,,,,,,,Hit,2012.10.17 21:32:16,M,1,No,No,,CRC Error
2012.10.17 21:42:31,2012.10.17 21:42:31,,,,,,,,,,,,Hit,2012.10.17 21:42:31,A,1,No,No,,CRC Error
2012.10.17 21:43:32,2012.10.17 21:43:32,2,65.424,-160.987,225,,,,,,,,,2012.10.17 21:43:32,A,4,,,,
2012.10.17 21:44:34,2012.10.17 21:44:34,,,,,,,,,,,,Hit,2012.10.17 21:44:34,A,1,No,No,,CRC Error
2012.10.17 21:46:37,2012.10.17 21:46:37,,,,,,,,,,,,Hit,2012.10.17 21:46:37,A,1,No,No,No,
2012.10.17 21:48:40,2012.10.17 21:48:40,,,,,,,,,,,,Hit,2012.10.17 21:48:40,A,1,No,No,,CRC Error
2012.10.17 21:50:42,2012.10.17 21:50:42,B,65.423,-160.988,223,,,,,,,,,2012.10.17 21:50:42,N,2,,,,
2012.10.17 21:50:43,2012.10.17 21:50:43,,,,,,,,,,,,Hit,2012.10.17 21:50:43,N,1,No,No,No,
2012.10.17 21:52:46,2012.10.17 21:52:46,,,,,,,,,,,,Hit,2012.10.17 21:52:46,N,1,No,No,No,
2012.10.17 22:25:33,2012.10.17 22:25:33,B,65.425,-160.988,222,,,,,,,,,2012.10.17 22:25:33,L,1,,,,
2012.10.17 22:25:34,2012.10.17 22:25:34,,,,,,,,,,,,Hit,2012.10.17 22:25:34,L,1,No,No,,CRC Error
2012.10.17 22:35:49,2012.10.17 22:35:49,,,,,,,,,,,,Hit,2012.10.17 22:35:49,P,1,No,No,No,
2012.10.17 22:37:51,2012.10.17 22:37:51,B,65.421,-160.991,213,,,,,,,,,2012.10.17 22:37:51,P,2,,,,
2012.10.17 22:39:55,2012.10.17 22:39:55,,,,,,,,,,,,Hit,2012.10.17 22:39:55,P,1,No,No,,CRC Error
2012.10.17 23:08:36,2012.10.17 23:08:36,B,65.420,-161.000,194,,,,,,,,,2012.10.17 23:08:36,M,1,,,,
2012.10.17 23:08:37,2012.10.17 23:08:37,,,,,,,,,,,,Hit,2012.10.17 23:08:37,M,1,No,No,No,
2012.10.17 23:20:54,2012.10.17 23:20:54,2,65.414,-161.011,181,,,,,,,,,2012.10.17 23:20:54,A,4,,,,
2012.10.17 23:20:55,2012.10.17 23:20:55,,,,,,,,,,,,Hit,2012.10.17 23:20:55,A,1,No,No,,CRC Error
2012.10.17 23:22:58,2012.10.17 23:22:58,,,,,,,,,,,,Hit,2012.10.17 23:22:58,A,1,No,No,,CRC Error
2012.10.17 23:25:01,2012.10.17 23:25:01,,,,,,,,,,,,Hit,2012.10.17 23:25:01,A,1,No,No,No,
2012.10.17 23:27:04,2012.10.17 23:27:04,,,,,,,,,,,,Hit,2012.10.17 23:27:04,N,1,No,No,No,
2012.10.17 23:28:05,2012.10.17 23:28:05,A,65.414,-161.014,175,,,,,,,,,2012.10.17 23:28:05,N,3,,,,
2012.10.17 23:29:07,2012.10.17 23:29:07,,,,,,,,,,,,Hit,2012.10.17 23:29:07,A,1,No,No,,CRC Error
2012.10.17 23:29:07,2012.10.17 23:29:07,,,,,,,,,,,,Hit,2012.10.17 23:29:07,N,1,No,No,No,
2012.10.17 23:33:13,2012.10.17 23:33:13,,,,,,,,,,,,Hit,2012.10.17 23:33:13,N,1,No,No,No,
2012.10.18 00:00:35,2012.10.18 00:00:00,,,,,Succeeded,65.415902,-161.012578,4W,7256299,406584,,,2012.10.22 22:37:52,N,2,,,No,
2012.10.18 00:16:16,2012.10.18 00:16:16,B,65.415,-161.014,172,,,,,,,,,2012.10.18 00:16:16,K,1,,,,
2012.10.18 00:16:17,2012.10.18 00:16:17,,,,,,,,,,,,Hit,2012.10.18 00:16:17,K,1,No,No,No,
2012.10.18 00:18:20,2012.10.18 00:18:20,,,,,,,,,,,,Hit,2012.10.18 00:18:20,P,1,No,No,,CRC Error
2012.10.18 00:20:23,2012.10.18 00:20:23,,,,,,,,,,,,Hit,2012.10.18 00:20:23,P,1,No,No,No,
2012.10.18 00:21:24,2012.10.18 00:21:24,3,65.414,-161.015,172,,,,,,,,,2012.10.18 00:21:24,P,4,,,,
2012.10.18 00:22:26,2012.10.18 00:22:26,,,,,,,,,,,,Hit,2012.10.18 00:22:26,P,1,No,No,No,
2012.10.18 00:24:29,2012.10.18 00:24:29,,,,,,,,,,,,Hit,2012.10.18 00:24:29,P,1,No,No,No,
2012.10.18 00:44:58,2012.10.18 00:44:58,A,65.417,-161.026,147,,,,,,,,,2012.10.18 00:44:58,M,3,,,,
2012.10.18 00:44:59,2012.10.18 00:44:59,,,,,,,,,,,,Hit,2012.10.18 00:44:59,M,1,No,No,No,
2012.10.18 00:47:02,2012.10.18 00:47:02,,,,,,,,,,,,Hit,2012.10.18 00:47:02,M,1,No,No,No,
2012.10.18 00:49:05,2012.10.18 00:49:05,,,,,,,,,,,,Hit,2012.10.18 00:49:05,M,1,No,No,No,
2012.10.18 01:01:22,2012.10.18 01:01:22,B,65.414,-161.027,141,,,,,,,,,2012.10.18 01:01:22,A,2,,,,
2012.10.18 01:01:23,2012.10.18 01:01:23,,,,,,,,,,,,Hit,2012.10.18 01:01:23,A,1,No,No,No,
2012.10.18 01:05:28,2012.10.18 01:05:28,2,65.428,-161.014,165,,,,,,,,,2012.10.18 01:05:28,N,4,,,,
2012.10.18 01:05:29,2012.10.18 01:05:29,,,,,,,,,,,,Hit,2012.10.18 01:05:29,A,1,No,No,No,
2012.10.18 01:05:29,2012.10.18 01:05:29,,,,,,,,,,,,Hit,2012.10.18 01:05:29,N,1,No,No,,CRC Error
2012.10.18 01:07:32,2012.10.18 01:07:32,,,,,,,,,,,,Hit,2012.10.18 01:07:32,N,1,No,No,No,
2012.10.18 01:09:35,2012.10.18 01:09:35,,,,,,,,,,,,Hit,2012.10.18 01:09:35,N,1,No,No,No,
2012.10.18 01:15:44,2012.10.18 01:15:44,,,,,,,,,,,,Hit,2012.10.18 01:15:44,N,1,No,No,No,
2012.10.18 01:40:20,2012.10.18 01:40:20,,,,,,,,,,,,Hit,2012.10.18 01:40:20,L,1,No,No,,CRC Error
2012.10.18 01:41:21,2012.10.18 01:41:21,B,65.429,-161.053,229,,,,,,,,,2012.10.18 01:41:21,L,2,,,,
2012.10.18 01:42:23,2012.10.18 01:42:23,,,,,,,,,,,,Hit,2012.10.18 01:42:23,L,1,No,No,,CRC Error
2012.10.18 01:48:32,2012.10.18 01:48:32,,,,,,,,,,,,Hit,2012.10.18 01:48:32,K,1,No,No,No,
2012.10.18 01:50:34,2012.10.18 01:50:34,A,65.422,-161.058,203,,,,,,,,,2012.10.18 01:50:34,K,3,,,,
2012.10.18 01:50:35,2012.10.18 01:50:35,,,,,,,,,,,,Hit,2012.10.18 01:50:35,K,1,No,No,No,
2012.10.18 01:52:38,2012.10.18 01:52:38,,,,,,,,,,,,Hit,2012.10.18 01:52:38,K,1,No,No,No,
2012.10.18 08:00:34,2012.10.18 08:00:00,,,,,Succeeded,65.425429,-161.063390,4W,7257437,404261,,,2012.10.22 23:20:55,A,1,,,No,
2012.10.18 16:00:52,2012.10.18 16:00:00,,,,,Succeeded,65.417275,-161.048284,4W,7256506,404932,,,2012.10.22 23:20:55,A,1,,,No,
2012.10.19 00:00:35,2012.10.19 00:00:00,,,,,Succeeded,65.408521,-161.116776,4W,7255636,401722,,,2012.10.22 23:20:55,A,1,,,No,
2012.10.19 08:00:39,2012.10.19 08:00:00,,,,,Succeeded,65.386548,-161.184926,4W,7253296,398474,,,2012.10.22 23:20:55,A,1,,,No,
2012.10.19 16:00:39,2012.10.19 16:00:00,,,,,Succeeded,65.388780,-161.193080,4W,7253558,398103,,,2012.10.22 23:20:55,A,1,,,No,
2012.10.20 00:00:34,2012.10.20 00:00:00,,,,,Succeeded,65.351357,-161.321054,4W,7249602,392006,,,2012.10.22 23:22:58,P,2,,,No,
2012.10.20 08:00:36,2012.10.20 08:00:00,,,,,Succeeded,65.333591,-161.421390,4W,7247799,387263,,,2012.10.22 23:22:58,P,2,,,No,
2012.10.20 16:00:35,2012.10.20 16:00:00,,,,,Succeeded,65.320716,-161.451173,4W,7246418,385821,,,2012.10.22 23:22:58,P,2,,,No,
2012.10.21 00:00:53,2012.10.21 00:00:00,,,,,Succeeded,65.295053,-161.520867,4W,7243688,382462,,,2012.10.22 23:22:58,P,2,,,No,
2012.10.21 08:00:42,2012.10.21 08:00:00,,,,,Succeeded,65.282264,-161.563182,4W,7242343,380432,,,2012.10.22 23:22:58,P,2,,,No,
2012.10.22 20:02:04,2012.10.22 20:02:04,,,,,,,,,,,,Hit,2012.10.22 20:02:04,A,1,No,No,No,
2012.10.22 21:07:40,2012.10.22 21:07:40,,,,,,,,,,,,Hit,2012.10.22 21:07:40,M,1,No,No,,CRC Error
2012.10.22 21:07:40,2012.10.22 21:07:40,B,65.179,-161.557,37,,,,,,,,,2012.10.22 21:07:40,M,2,,,,
2012.10.22 21:09:43,2012.10.22 21:09:43,,,,,,,,,,,,Hit,2012.10.22 21:09:43,M,1,No,No,,CRC Error
2012.10.22 21:28:10,2012.10.22 21:28:10,,,,,,,,,,,,Hit,2012.10.22 21:28:10,L,1,No,No,,CRC Error
2012.10.22 21:28:10,2012.10.22 21:28:10,B,65.230,-161.646,40,,,,,,,,,2012.10.22 21:28:10,L,1,,,,
2012.10.22 21:42:31,2012.10.22 21:42:31,,,,,,,,,,,,Hit,2012.10.22 21:42:31,A,1,No,No,No,
2012.10.22 21:43:32,2012.10.22 21:43:32,B,65.230,-161.657,49,,,,,,,,,2012.10.22 21:43:32,A,2,,,,
2012.10.22 21:44:34,2012.10.22 21:44:34,,,,,,,,,,,,Hit,2012.10.22 21:44:34,A,1,No,No,No,
2012.10.22 21:48:40,2012.10.22 21:48:40,B,65.227,-161.651,39,,,,,,,,Hit,2012.10.22 21:48:40,P,1,No,No,No,
2012.10.22 22:37:51,2012.10.22 22:37:51,B,65.209,-161.640,37,,,,,,,,,2012.10.22 22:37:51,N,1,,,,
2012.10.22 22:37:52,2012.10.22 22:37:52,,,,,,,,,,,,Hit,2012.10.22 22:37:52,N,1,No,No,No,
2012.10.22 23:20:54,2012.10.22 23:20:54,B,65.201,-161.615,35,,,,,,,,,2012.10.22 23:20:54,A,1,,,,
2012.10.22 23:20:55,2012.10.22 23:20:55,,,,,,,,,,,,Hit,2012.10.22 23:20:55,A,1,No,No,No,
2012.10.22 23:22:57,2012.10.22 23:22:57,B,65.226,-161.640,44,,,,,,,,,2012.10.22 23:22:57,P,2,,,,
2012.10.22 23:22:58,2012.10.22 23:22:58,,,,,,,,,,,,Hit,2012.10.22 23:22:58,P,1,No,No,No,
2012.10.22 23:27:04,2012.10.22 23:27:04,,,,,,,,,,,,Hit,2012.10.22 23:27:04,P,1,No,No,No,
2012.10.22 23:49:36,2012.10.22 23:49:36,B,65.223,-161.643,40,,,,,,,,,2012.10.22 23:49:36,K,2,,,,
2012.10.22 23:49:37,2012.10.22 23:49:37,,,,,,,,,,,,Hit,2012.10.22 23:49:37,K,1,No,No,No,
2012.10.22 23:53:43,2012.10.22 23:53:43,,,,,,,,,,,,Hit,2012.10.22 23:53:43,K,1,No,No,,CRC Error
2012.10.23 00:14:13,2012.10.23 00:14:13,B,65.220,-161.630,53,,,,,,,,,2012.10.23 00:14:13,N,1,,,,
2012.10.23 00:14:14,2012.10.23 00:14:14,,,,,,,,,,,,Hit,2012.10.23 00:14:14,N,1,No,No,No,
2012.10.23 00:26:31,2012.10.23 00:26:31,,,,,,,,,,,,Hit,2012.10.23 00:26:31,M,1,No,No,,CRC Error
2012.10.23 00:26:31,2012.10.23 00:26:31,B,65.219,-161.626,53,,,,,,,,,2012.10.23 00:26:31,M,1,,,,
2012.10.23 00:44:58,2012.10.23 00:44:58,,,,,,,,,,,,Hit,2012.10.23 00:44:58,L,1,No,No,,CRC Error
2012.10.23 00:44:58,2012.10.23 00:44:58,B,65.213,-161.613,49,,,,,,,,,2012.10.23 00:44:58,L,1,,,,
2012.10.23 00:57:16,2012.10.23 00:57:16,,,,,,,,,,,,Hit,2012.10.23 00:57:16,A,1,No,No,,CRC Error
2012.10.23 00:57:16,2012.10.23 00:57:16,B,65.211,-161.610,47,,,,,,,,,2012.10.23 00:57:16,A,2,,,,
2012.10.23 01:01:22,2012.10.23 01:01:22,,,,,,,,,,,,Hit,2012.10.23 01:01:22,A,1,No,No,No,
2012.10.23 01:05:28,2012.10.23 01:05:28,,,,,,,,,,,,Hit,2012.10.23 01:05:28,P,1,No,No,No,
2012.10.23 01:07:31,2012.10.23 01:07:31,B,65.210,-161.634,37,,,,,,,,,2012.10.23 01:07:31,P,2,,,,
2012.10.23 01:09:34,2012.10.23 01:09:34,,,,,,,,,,,,Hit,2012.10.23 01:09:34,P,1,No,No,No,
2012.10.23 01:56:43,2012.10.23 01:56:43,B,65.211,-161.617,42,,,,,,,,Hit,2012.10.23 01:56:43,N,1,No,No,No,
